,Locality,Year,FIPS Code,Source,Type,Case Count Display,Rate,VDH Health District,VDH Health District Case Count Display,VDH Health District Case Rate,VDH Health Region,VDH Health Region Case Count Display,VDH Health Region Case Rate,Virginia Hospital & Healthcare Preparedness Region,Virginia Hospital & Healthcare Preparedness Region Case Count Display,Virginia Hospital & Healthcare Preparedness Region Case Rate,Virginia Department of Emergency Management Region,Virginia Department of Emergency Management Region Case Count Display,Virginia Department of Emergency Management Region Case Rate,Community Service Board,Community Service Board Case Count Display,Community Service Board Case Rate,Virginia State Police Division,Virginia State Police Division Case Count Display,Virginia State Police Division Case Rate,Virginia State,Virginia State Case Count Display,Virginia State Case Rate,X__2
18,Accomack,2013,51001,OD Death,Fatal Fentanyl and/or Heroin Overdose,NA,3,Eastern Shore,NA,2.2,Eastern,99,5.4,Eastern,99,5.4,Tidewater,98,5.4,Eastern Shore Community Services Board,NA,2.2,VSP Division 5,98,5.4,Virginia State,309,3.7,32840
24,Accomack,2013,51001,ED,ED Opioid Overdose,0,0,Eastern Shore,0,0,Eastern,0,0,Eastern,0,0,Tidewater,0,0,Eastern Shore Community Services Board,0,0,VSP Division 5,0,0,Virginia State,0,0,32840
46,Albemarle,2013,51003,ED,ED Heroin Overdose,0,0,Thomas Jefferson,0,0,Northwest,0,0,Northwest,0,0,Central Virginia,0,0,Region Ten Community Services Board,0,0,VSP Division 3,0,0,Virginia State,0,0,105105
52,Albemarle,2013,51003,OD Death,Fatal Fentanyl and/or Heroin Overdose,NA,1,Thomas Jefferson,NA,1.7,Northwest,64,5,Northwest,36,4.2,Central Virginia,13,1.7,Region Ten Community Services Board,NA,1.7,VSP Division 3,10,1.5,Virginia State,309,3.7,105105
54,Albemarle,2013,51003,OD Death,Fatal Prescription Opioid Overdose,NA,3.9,Thomas Jefferson,7,2.9,Northwest,89,7,Northwest,62,7.2,Central Virginia,35,4.6,Region Ten Community Services Board,7,2.9,VSP Division 3,32,4.9,Virginia State,459,5.5,105105
56,Albemarle,2013,51003,ED,ED Opioid Overdose,0,0,Thomas Jefferson,0,0,Northwest,0,0,Northwest,0,0,Central Virginia,0,0,Region Ten Community Services Board,0,0,VSP Division 3,0,0,Virginia State,0,0,105105
62,Alleghany,2013,51005,OD Death,Fatal Fentanyl and/or Heroin Overdose,0,0,Alleghany,5,2.8,Southwest,46,3.4,Near Southwest,38,3.9,Roanoke Area,32,4.3,Alleghany Highlands Community Services Board,0,0,VSP Division 6,33,4.3,Virginia State,309,3.7,15489
77,Alleghany,2013,51005,OD Death,Fatal Prescription Opioid Overdose,0,0,Alleghany,8,4.5,Southwest,125,9.3,Near Southwest,74,7.5,Roanoke Area,59,7.9,Alleghany Highlands Community Services Board,NA,4.5,VSP Division 6,59,7.7,Virginia State,459,5.5,15489
81,Alleghany,2013,51005,ED,ED Opioid Overdose,0,0,Alleghany,0,0,Southwest,0,0,Near Southwest,0,0,Roanoke Area,0,0,Alleghany Highlands Community Services Board,0,0,VSP Division 6,0,0,Virginia State,0,0,15489
84,Alleghany,2013,51005,ED,ED Heroin Overdose,0,0,Alleghany,0,0,Southwest,0,0,Near Southwest,0,0,Roanoke Area,0,0,Alleghany Highlands Community Services Board,0,0,VSP Division 6,0,0,Virginia State,0,0,15489
95,Amelia,2013,51007,ED,ED Heroin Overdose,0,0,Piedmont,0,0,Central,0,0,Central,0,0,Richmond,0,0,Crossroads Community Services Board,0,0,VSP Division 1,0,0,Virginia State,0,0,12802
96,Amelia,2013,51007,OD Death,Fatal Prescription Opioid Overdose,0,0,Piedmont,7,6.8,Central,67,4.8,Central,67,4.8,Richmond,58,4.5,Crossroads Community Services Board,7,6.8,VSP Division 1,61,4.4,Virginia State,459,5.5,12802
100,Amelia,2013,51007,ED,ED Opioid Overdose,0,0,Piedmont,0,0,Central,0,0,Central,0,0,Richmond,0,0,Crossroads Community Services Board,0,0,VSP Division 1,0,0,Virginia State,0,0,12802
101,Amelia,2013,51007,OD Death,Fatal Fentanyl and/or Heroin Overdose,0,0,Piedmont,NA,1.9,Central,57,4.1,Central,57,4.1,Richmond,57,4.4,Crossroads Community Services Board,NA,1.9,VSP Division 1,59,4.3,Virginia State,309,3.7,12802
118,Amherst,2013,51009,ED,ED Heroin Overdose,0,0,Central Virginia,0,0,Southwest,0,0,Near Southwest,0,0,Central Virginia,0,0,Horizon Behavioral Health,0,0,VSP Division 3,0,0,Virginia State,0,0,31819
119,Amherst,2013,51009,ED,ED Opioid Overdose,0,0,Central Virginia,0,0,Southwest,0,0,Near Southwest,0,0,Central Virginia,0,0,Horizon Behavioral Health,0,0,VSP Division 3,0,0,Virginia State,0,0,31819
132,Amherst,2013,51009,OD Death,Fatal Fentanyl and/or Heroin Overdose,0,0,Central Virginia,7,2.8,Southwest,46,3.4,Near Southwest,38,3.9,Central Virginia,13,1.7,Horizon Behavioral Health,7,2.8,VSP Division 3,10,1.5,Virginia State,309,3.7,31819
138,Amherst,2013,51009,OD Death,Fatal Prescription Opioid Overdose,0,0,Central Virginia,14,5.6,Southwest,125,9.3,Near Southwest,74,7.5,Central Virginia,35,4.6,Horizon Behavioral Health,14,5.6,VSP Division 3,32,4.9,Virginia State,459,5.5,31819
142,Appomattox,2013,51011,ED,ED Opioid Overdose,0,0,Central Virginia,0,0,Southwest,0,0,Near Southwest,0,0,Central Virginia,0,0,Horizon Behavioral Health,0,0,VSP Division 3,0,0,Virginia State,0,0,15462
152,Appomattox,2013,51011,OD Death,Fatal Prescription Opioid Overdose,NA,6.6,Central Virginia,14,5.6,Southwest,125,9.3,Near Southwest,74,7.5,Central Virginia,35,4.6,Horizon Behavioral Health,14,5.6,VSP Division 3,32,4.9,Virginia State,459,5.5,15462
159,Appomattox,2013,51011,OD Death,Fatal Fentanyl and/or Heroin Overdose,0,0,Central Virginia,7,2.8,Southwest,46,3.4,Near Southwest,38,3.9,Central Virginia,13,1.7,Horizon Behavioral Health,7,2.8,VSP Division 3,10,1.5,Virginia State,309,3.7,15462
163,Appomattox,2013,51011,ED,ED Heroin Overdose,0,0,Central Virginia,0,0,Southwest,0,0,Near Southwest,0,0,Central Virginia,0,0,Horizon Behavioral Health,0,0,VSP Division 3,0,0,Virginia State,0,0,15462
177,Arlington,2013,51013,ED,ED Heroin Overdose,0,0,Arlington,0,0,Northern,0,0,Northern,0,0,Northern Virginia,0,0,Arlington County Community Services Board,0,0,VSP Division 7,0,0,Virginia State,0,0,229534
179,Arlington,2013,51013,OD Death,Fatal Prescription Opioid Overdose,NA,1.3,Arlington,NA,1.3,Northern,76,3.2,Northern,103,3.7,Northern Virginia,82,3.2,Arlington County Community Services Board,NA,1.3,VSP Division 7,76,3.2,Virginia State,459,5.5,229534
186,Arlington,2013,51013,OD Death,Fatal Fentanyl and/or Heroin Overdose,NA,1.3,Arlington,NA,1.3,Northern,43,1.8,Northern,71,2.5,Northern Virginia,54,2.1,Arlington County Community Services Board,NA,1.3,VSP Division 7,43,1.8,Virginia State,309,3.7,229534
196,Arlington,2013,51013,ED,ED Opioid Overdose,0,0,Arlington,0,0,Northern,0,0,Northern,0,0,Northern Virginia,0,0,Arlington County Community Services Board,0,0,VSP Division 7,0,0,Virginia State,0,0,229534
213,Augusta,2013,51015,OD Death,Fatal Prescription Opioid Overdose,5,6.8,Central Shenandoah,13,4.5,Northwest,89,7,Northwest,62,7.2,Central Virginia,35,4.6,Valley Community Services Board,9,7.4,VSP Division 3,32,4.9,Virginia State,459,5.5,74390
214,Augusta,2013,51015,OD Death,Fatal Fentanyl and/or Heroin Overdose,NA,1.4,Central Shenandoah,5,1.7,Northwest,64,5,Northwest,36,4.2,Central Virginia,13,1.7,Valley Community Services Board,NA,1.6,VSP Division 3,10,1.5,Virginia State,309,3.7,74390
217,Augusta,2013,51015,ED,ED Heroin Overdose,0,0,Central Shenandoah,0,0,Northwest,0,0,Northwest,0,0,Central Virginia,0,0,Valley Community Services Board,0,0,VSP Division 3,0,0,Virginia State,0,0,74390
218,Augusta,2013,51015,ED,ED Opioid Overdose,0,0,Central Shenandoah,0,0,Northwest,0,0,Northwest,0,0,Central Virginia,0,0,Valley Community Services Board,0,0,VSP Division 3,0,0,Virginia State,0,0,74390
232,Bath,2013,51017,OD Death,Fatal Prescription Opioid Overdose,0,0,Central Shenandoah,13,4.5,Northwest,89,7,Northwest,62,7.2,Roanoke Area,59,7.9,Rockbridge Area Community Services,NA,2.5,VSP Division 6,59,7.7,Virginia State,459,5.5,4458
236,Bath,2013,51017,ED,ED Opioid Overdose,0,0,Central Shenandoah,0,0,Northwest,0,0,Northwest,0,0,Roanoke Area,0,0,Rockbridge Area Community Services,0,0,VSP Division 6,0,0,Virginia State,0,0,4458
239,Bath,2013,51017,ED,ED Heroin Overdose,0,0,Central Shenandoah,0,0,Northwest,0,0,Northwest,0,0,Roanoke Area,0,0,Rockbridge Area Community Services,0,0,VSP Division 6,0,0,Virginia State,0,0,4458
248,Bath,2013,51017,OD Death,Fatal Fentanyl and/or Heroin Overdose,0,0,Central Shenandoah,5,1.7,Northwest,64,5,Northwest,36,4.2,Roanoke Area,32,4.3,Rockbridge Area Community Services,0,0,VSP Division 6,33,4.3,Virginia State,309,3.7,4458
254,Bedford,2013,51019,OD Death,Fatal Prescription Opioid Overdose,6,8.6,Central Virginia,14,5.6,Southwest,125,9.3,Near Southwest,74,7.5,Roanoke Area,59,7.9,Horizon Behavioral Health,14,5.6,VSP Division 6,59,7.7,Virginia State,459,5.5,77319
263,Bedford,2013,51019,OD Death,Fatal Fentanyl and/or Heroin Overdose,NA,5.7,Central Virginia,7,2.8,Southwest,46,3.4,Near Southwest,38,3.9,Roanoke Area,32,4.3,Horizon Behavioral Health,7,2.8,VSP Division 6,33,4.3,Virginia State,309,3.7,77319
273,Bedford,2013,51019,ED,ED Opioid Overdose,0,0,Central Virginia,0,0,Southwest,0,0,Near Southwest,0,0,Roanoke Area,0,0,Horizon Behavioral Health,0,0,VSP Division 6,0,0,Virginia State,0,0,77319
280,Bedford,2013,51019,ED,ED Heroin Overdose,0,0,Central Virginia,0,0,Southwest,0,0,Near Southwest,0,0,Roanoke Area,0,0,Horizon Behavioral Health,0,0,VSP Division 6,0,0,Virginia State,0,0,77319
283,Bland,2013,51021,OD Death,Fatal Prescription Opioid Overdose,NA,14.8,Mount Rogers,9,4.7,Southwest,125,9.3,Far Southwest,51,13.9,Southwest,59,12.7,Mount Rogers Community Services Board,6,5,VSP Division 4,59,13.2,Virginia State,459,5.5,6524
300,Bland,2013,51021,ED,ED Heroin Overdose,0,0,Mount Rogers,0,0,Southwest,0,0,Far Southwest,0,0,Southwest,0,0,Mount Rogers Community Services Board,0,0,VSP Division 4,0,0,Virginia State,0,0,6524
303,Bland,2013,51021,ED,ED Opioid Overdose,0,0,Mount Rogers,0,0,Southwest,0,0,Far Southwest,0,0,Southwest,0,0,Mount Rogers Community Services Board,0,0,VSP Division 4,0,0,Virginia State,0,0,6524
307,Bland,2013,51021,OD Death,Fatal Fentanyl and/or Heroin Overdose,0,0,Mount Rogers,6,3.1,Southwest,46,3.4,Far Southwest,8,2.2,Southwest,11,2.4,Mount Rogers Community Services Board,5,4.2,VSP Division 4,10,2.2,Virginia State,309,3.7,6524
324,Botetourt,2013,51023,OD Death,Fatal Prescription Opioid Overdose,NA,3,Alleghany,8,4.5,Southwest,125,9.3,Near Southwest,74,7.5,Roanoke Area,59,7.9,Blue Ridge Behavioral Healthcare,20,7.8,VSP Division 6,59,7.7,Virginia State,459,5.5,33149
328,Botetourt,2013,51023,ED,ED Opioid Overdose,0,0,Alleghany,0,0,Southwest,0,0,Near Southwest,0,0,Roanoke Area,0,0,Blue Ridge Behavioral Healthcare,0,0,VSP Division 6,0,0,Virginia State,0,0,33149
329,Botetourt,2013,51023,OD Death,Fatal Fentanyl and/or Heroin Overdose,0,0,Alleghany,5,2.8,Southwest,46,3.4,Near Southwest,38,3.9,Roanoke Area,32,4.3,Blue Ridge Behavioral Healthcare,15,5.9,VSP Division 6,33,4.3,Virginia State,309,3.7,33149
330,Botetourt,2013,51023,ED,ED Heroin Overdose,0,0,Alleghany,0,0,Southwest,0,0,Near Southwest,0,0,Roanoke Area,0,0,Blue Ridge Behavioral Healthcare,0,0,VSP Division 6,0,0,Virginia State,0,0,33149
351,Brunswick,2013,51025,OD Death,Fatal Prescription Opioid Overdose,0,0,Southside,NA,2.4,Central,67,4.8,Central,67,4.8,Richmond,58,4.5,Southside Community Services Board,NA,2.4,VSP Division 5,97,5.4,Virginia State,459,5.5,16435
355,Brunswick,2013,51025,ED,ED Opioid Overdose,0,0,Southside,0,0,Central,0,0,Central,0,0,Richmond,0,0,Southside Community Services Board,0,0,VSP Division 5,0,0,Virginia State,0,0,16435
356,Brunswick,2013,51025,ED,ED Heroin Overdose,0,0,Southside,0,0,Central,0,0,Central,0,0,Richmond,0,0,Southside Community Services Board,0,0,VSP Division 5,0,0,Virginia State,0,0,16435
360,Brunswick,2013,51025,OD Death,Fatal Fentanyl and/or Heroin Overdose,0,0,Southside,0,0,Central,57,4.1,Central,57,4.1,Richmond,57,4.4,Southside Community Services Board,0,0,VSP Division 5,98,5.4,Virginia State,309,3.7,16435
374,Buchanan,2013,51027,OD Death,Fatal Prescription Opioid Overdose,5,21.2,Cumberland Plateau,19,17,Southwest,125,9.3,Far Southwest,51,13.9,Southwest,59,12.7,Cumberland Mountain Community Services,14,14.6,VSP Division 4,59,13.2,Virginia State,459,5.5,22611
383,Buchanan,2013,51027,OD Death,Fatal Fentanyl and/or Heroin Overdose,0,0,Cumberland Plateau,NA,0.9,Southwest,46,3.4,Far Southwest,8,2.2,Southwest,11,2.4,Cumberland Mountain Community Services,0,0,VSP Division 4,10,2.2,Virginia State,309,3.7,22611
390,Buchanan,2013,51027,ED,ED Heroin Overdose,0,0,Cumberland Plateau,0,0,Southwest,0,0,Far Southwest,0,0,Southwest,0,0,Cumberland Mountain Community Services,0,0,VSP Division 4,0,0,Virginia State,0,0,22611
392,Buchanan,2013,51027,ED,ED Opioid Overdose,0,0,Cumberland Plateau,0,0,Southwest,0,0,Far Southwest,0,0,Southwest,0,0,Cumberland Mountain Community Services,0,0,VSP Division 4,0,0,Virginia State,0,0,22611
398,Buckingham,2013,51029,OD Death,Fatal Prescription Opioid Overdose,NA,11.7,Piedmont,7,6.8,Central,67,4.8,Central,67,4.8,Central Virginia,35,4.6,Crossroads Community Services Board,7,6.8,VSP Division 3,32,4.9,Virginia State,459,5.5,17048
413,Buckingham,2013,51029,ED,ED Heroin Overdose,0,0,Piedmont,0,0,Central,0,0,Central,0,0,Central Virginia,0,0,Crossroads Community Services Board,0,0,VSP Division 3,0,0,Virginia State,0,0,17048
415,Buckingham,2013,51029,OD Death,Fatal Fentanyl and/or Heroin Overdose,0,0,Piedmont,NA,1.9,Central,57,4.1,Central,57,4.1,Central Virginia,13,1.7,Crossroads Community Services Board,NA,1.9,VSP Division 3,10,1.5,Virginia State,309,3.7,17048
417,Buckingham,2013,51029,ED,ED Opioid Overdose,0,0,Piedmont,0,0,Central,0,0,Central,0,0,Central Virginia,0,0,Crossroads Community Services Board,0,0,VSP Division 3,0,0,Virginia State,0,0,17048
428,Campbell,2013,51031,OD Death,Fatal Fentanyl and/or Heroin Overdose,NA,1.8,Central Virginia,7,2.8,Southwest,46,3.4,Near Southwest,38,3.9,Central Virginia,13,1.7,Horizon Behavioral Health,7,2.8,VSP Division 3,10,1.5,Virginia State,309,3.7,55158
438,Campbell,2013,51031,OD Death,Fatal Prescription Opioid Overdose,NA,5.4,Central Virginia,14,5.6,Southwest,125,9.3,Near Southwest,74,7.5,Central Virginia,35,4.6,Horizon Behavioral Health,14,5.6,VSP Division 3,32,4.9,Virginia State,459,5.5,55158
442,Campbell,2013,51031,ED,ED Heroin Overdose,0,0,Central Virginia,0,0,Southwest,0,0,Near Southwest,0,0,Central Virginia,0,0,Horizon Behavioral Health,0,0,VSP Division 3,0,0,Virginia State,0,0,55158
447,Campbell,2013,51031,ED,ED Opioid Overdose,0,0,Central Virginia,0,0,Southwest,0,0,Near Southwest,0,0,Central Virginia,0,0,Horizon Behavioral Health,0,0,VSP Division 3,0,0,Virginia State,0,0,55158
464,Caroline,2013,51033,OD Death,Fatal Fentanyl and/or Heroin Overdose,NA,3.4,Rappahannock,25,7.2,Northwest,64,5,Northern,71,2.5,Culpeper,44,6.7,Rappahannock Area Community Services Board,25,7.2,VSP Division 1,59,4.3,Virginia State,309,3.7,29889
470,Caroline,2013,51033,OD Death,Fatal Prescription Opioid Overdose,0,0,Rappahannock,19,5.5,Northwest,89,7,Northern,103,3.7,Culpeper,64,9.7,Rappahannock Area Community Services Board,19,5.5,VSP Division 1,61,4.4,Virginia State,459,5.5,29889
474,Caroline,2013,51033,ED,ED Heroin Overdose,0,0,Rappahannock,0,0,Northwest,0,0,Northern,0,0,Culpeper,0,0,Rappahannock Area Community Services Board,0,0,VSP Division 1,0,0,Virginia State,0,0,29889
476,Caroline,2013,51033,ED,ED Opioid Overdose,0,0,Rappahannock,0,0,Northwest,0,0,Northern,0,0,Culpeper,0,0,Rappahannock Area Community Services Board,0,0,VSP Division 1,0,0,Virginia State,0,0,29889
486,Carroll,2013,51035,ED,ED Heroin Overdose,0,0,Mount Rogers,0,0,Southwest,0,0,Near Southwest,0,0,Southwest,0,0,Mount Rogers Community Services Board,0,0,VSP Division 4,0,0,Virginia State,0,0,29767
490,Carroll,2013,51035,OD Death,Fatal Fentanyl and/or Heroin Overdose,0,0,Mount Rogers,6,3.1,Southwest,46,3.4,Near Southwest,38,3.9,Southwest,11,2.4,Mount Rogers Community Services Board,5,4.2,VSP Division 4,10,2.2,Virginia State,309,3.7,29767
497,Carroll,2013,51035,ED,ED Opioid Overdose,0,0,Mount Rogers,0,0,Southwest,0,0,Near Southwest,0,0,Southwest,0,0,Mount Rogers Community Services Board,0,0,VSP Division 4,0,0,Virginia State,0,0,29767
504,Carroll,2013,51035,OD Death,Fatal Prescription Opioid Overdose,0,0,Mount Rogers,9,4.7,Southwest,125,9.3,Near Southwest,74,7.5,Southwest,59,12.7,Mount Rogers Community Services Board,6,5,VSP Division 4,59,13.2,Virginia State,459,5.5,29767
508,Charles City,2013,51036,ED,ED Opioid Overdose,0,0,Chickahominy,0,0,Central,0,0,Central,0,0,Richmond,0,0,Henrico Area Mental Health and Developmental Services,0,0,VSP Division 1,0,0,Virginia State,0,0,7022
519,Charles City,2013,51036,ED,ED Heroin Overdose,0,0,Chickahominy,0,0,Central,0,0,Central,0,0,Richmond,0,0,Henrico Area Mental Health and Developmental Services,0,0,VSP Division 1,0,0,Virginia State,0,0,7022
522,Charles City,2013,51036,OD Death,Fatal Fentanyl and/or Heroin Overdose,0,0,Chickahominy,6,4,Central,57,4.1,Central,57,4.1,Richmond,57,4.4,Henrico Area Mental Health and Developmental Services,10,2.9,VSP Division 1,59,4.3,Virginia State,309,3.7,7022
528,Charles City,2013,51036,OD Death,Fatal Prescription Opioid Overdose,NA,28.1,Chickahominy,9,6,Central,67,4.8,Central,67,4.8,Richmond,58,4.5,Henrico Area Mental Health and Developmental Services,15,4.3,VSP Division 1,61,4.4,Virginia State,459,5.5,7022
542,Charlotte,2013,51037,OD Death,Fatal Prescription Opioid Overdose,NA,16.3,Piedmont,7,6.8,Central,67,4.8,Central,67,4.8,Central Virginia,35,4.6,Crossroads Community Services Board,7,6.8,VSP Division 3,32,4.9,Virginia State,459,5.5,12176
550,Charlotte,2013,51037,ED,ED Heroin Overdose,0,0,Piedmont,0,0,Central,0,0,Central,0,0,Central Virginia,0,0,Crossroads Community Services Board,0,0,VSP Division 3,0,0,Virginia State,0,0,12176
553,Charlotte,2013,51037,ED,ED Opioid Overdose,0,0,Piedmont,0,0,Central,0,0,Central,0,0,Central Virginia,0,0,Crossroads Community Services Board,0,0,VSP Division 3,0,0,Virginia State,0,0,12176
559,Charlotte,2013,51037,OD Death,Fatal Fentanyl and/or Heroin Overdose,0,0,Piedmont,NA,1.9,Central,57,4.1,Central,57,4.1,Central Virginia,13,1.7,Crossroads Community Services Board,NA,1.9,VSP Division 3,10,1.5,Virginia State,309,3.7,12176
563,Chesterfield,2013,51041,OD Death,Fatal Fentanyl and/or Heroin Overdose,11,3.4,Chesterfield,13,3.5,Central,57,4.1,Central,57,4.1,Richmond,57,4.4,Chesterfield Community Services Board,11,3.4,VSP Division 1,59,4.3,Virginia State,309,3.7,335594
568,Chesterfield,2013,51041,ED,ED Heroin Overdose,0,0,Chesterfield,0,0,Central,0,0,Central,0,0,Richmond,0,0,Chesterfield Community Services Board,0,0,VSP Division 1,0,0,Virginia State,0,0,335594
574,Chesterfield,2013,51041,OD Death,Fatal Prescription Opioid Overdose,12,3.7,Chesterfield,14,3.7,Central,67,4.8,Central,67,4.8,Richmond,58,4.5,Chesterfield Community Services Board,12,3.7,VSP Division 1,61,4.4,Virginia State,459,5.5,335594
581,Chesterfield,2013,51041,ED,ED Opioid Overdose,0,0,Chesterfield,0,0,Central,0,0,Central,0,0,Richmond,0,0,Chesterfield Community Services Board,0,0,VSP Division 1,0,0,Virginia State,0,0,335594
594,Clarke,2013,51043,ED,ED Heroin Overdose,0,0,Lord Fairfax,0,0,Northwest,0,0,Northwest,0,0,Culpeper,0,0,Northwestern Community Services,0,0,VSP Division 2,0,0,Virginia State,0,0,14331
599,Clarke,2013,51043,OD Death,Fatal Prescription Opioid Overdose,0,0,Lord Fairfax,24,10.5,Northwest,89,7,Northwest,62,7.2,Culpeper,64,9.7,Northwestern Community Services,24,10.5,VSP Division 2,70,8.5,Virginia State,459,5.5,14331
603,Clarke,2013,51043,ED,ED Opioid Overdose,0,0,Lord Fairfax,0,0,Northwest,0,0,Northwest,0,0,Culpeper,0,0,Northwestern Community Services,0,0,VSP Division 2,0,0,Virginia State,0,0,14331
609,Clarke,2013,51043,OD Death,Fatal Fentanyl and/or Heroin Overdose,0,0,Lord Fairfax,18,7.9,Northwest,64,5,Northwest,36,4.2,Culpeper,44,6.7,Northwestern Community Services,18,7.9,VSP Division 2,56,6.8,Virginia State,309,3.7,14331
632,Craig,2013,51045,OD Death,Fatal Prescription Opioid Overdose,0,0,Alleghany,8,4.5,Southwest,125,9.3,Near Southwest,74,7.5,Roanoke Area,59,7.9,Blue Ridge Behavioral Healthcare,20,7.8,VSP Division 6,59,7.7,Virginia State,459,5.5,5131
635,Craig,2013,51045,OD Death,Fatal Fentanyl and/or Heroin Overdose,0,0,Alleghany,5,2.8,Southwest,46,3.4,Near Southwest,38,3.9,Roanoke Area,32,4.3,Blue Ridge Behavioral Healthcare,15,5.9,VSP Division 6,33,4.3,Virginia State,309,3.7,5131
638,Craig,2013,51045,ED,ED Opioid Overdose,0,0,Alleghany,0,0,Southwest,0,0,Near Southwest,0,0,Roanoke Area,0,0,Blue Ridge Behavioral Healthcare,0,0,VSP Division 6,0,0,Virginia State,0,0,5131
640,Craig,2013,51045,ED,ED Heroin Overdose,0,0,Alleghany,0,0,Southwest,0,0,Near Southwest,0,0,Roanoke Area,0,0,Blue Ridge Behavioral Healthcare,0,0,VSP Division 6,0,0,Virginia State,0,0,5131
650,Culpeper,2013,51047,OD Death,Fatal Prescription Opioid Overdose,8,16.5,Rappahannock Rapidan,26,15.2,Northwest,89,7,Northwest,62,7.2,Culpeper,64,9.7,Rappahannock-Rapidan Community Services Board,26,15.2,VSP Division 2,70,8.5,Virginia State,459,5.5,49795
657,Culpeper,2013,51047,OD Death,Fatal Fentanyl and/or Heroin Overdose,5,10.3,Rappahannock Rapidan,12,7,Northwest,64,5,Northwest,36,4.2,Culpeper,44,6.7,Rappahannock-Rapidan Community Services Board,12,7,VSP Division 2,56,6.8,Virginia State,309,3.7,49795
667,Culpeper,2013,51047,ED,ED Heroin Overdose,0,0,Rappahannock Rapidan,0,0,Northwest,0,0,Northwest,0,0,Culpeper,0,0,Rappahannock-Rapidan Community Services Board,0,0,VSP Division 2,0,0,Virginia State,0,0,49795
671,Culpeper,2013,51047,ED,ED Opioid Overdose,0,0,Rappahannock Rapidan,0,0,Northwest,0,0,Northwest,0,0,Culpeper,0,0,Rappahannock-Rapidan Community Services Board,0,0,VSP Division 2,0,0,Virginia State,0,0,49795
675,Cumberland,2013,51049,OD Death,Fatal Prescription Opioid Overdose,NA,10.2,Piedmont,7,6.8,Central,67,4.8,Central,67,4.8,Central Virginia,35,4.6,Crossroads Community Services Board,7,6.8,VSP Division 3,32,4.9,Virginia State,459,5.5,9797
679,Cumberland,2013,51049,ED,ED Opioid Overdose,0,0,Piedmont,0,0,Central,0,0,Central,0,0,Central Virginia,0,0,Crossroads Community Services Board,0,0,VSP Division 3,0,0,Virginia State,0,0,9797
692,Cumberland,2013,51049,ED,ED Heroin Overdose,0,0,Piedmont,0,0,Central,0,0,Central,0,0,Central Virginia,0,0,Crossroads Community Services Board,0,0,VSP Division 3,0,0,Virginia State,0,0,9797
700,Cumberland,2013,51049,OD Death,Fatal Fentanyl and/or Heroin Overdose,NA,10.2,Piedmont,NA,1.9,Central,57,4.1,Central,57,4.1,Central Virginia,13,1.7,Crossroads Community Services Board,NA,1.9,VSP Division 3,10,1.5,Virginia State,309,3.7,9797
702,Dickenson,2013,51051,ED,ED Opioid Overdose,0,0,Cumberland Plateau,0,0,Southwest,0,0,Far Southwest,0,0,Southwest,0,0,Dickenson County Behavioral Health Services,0,0,VSP Division 4,0,0,Virginia State,0,0,15181
706,Dickenson,2013,51051,OD Death,Fatal Fentanyl and/or Heroin Overdose,NA,6.5,Cumberland Plateau,NA,0.9,Southwest,46,3.4,Far Southwest,8,2.2,Southwest,11,2.4,Dickenson County Behavioral Health Services,NA,6.5,VSP Division 4,10,2.2,Virginia State,309,3.7,15181
716,Dickenson,2013,51051,ED,ED Heroin Overdose,0,0,Cumberland Plateau,0,0,Southwest,0,0,Far Southwest,0,0,Southwest,0,0,Dickenson County Behavioral Health Services,0,0,VSP Division 4,0,0,Virginia State,0,0,15181
721,Dickenson,2013,51051,OD Death,Fatal Prescription Opioid Overdose,5,32.3,Cumberland Plateau,19,17,Southwest,125,9.3,Far Southwest,51,13.9,Southwest,59,12.7,Dickenson County Behavioral Health Services,5,32.3,VSP Division 4,59,13.2,Virginia State,459,5.5,15181
732,Dinwiddie,2013,51053,ED,ED Opioid Overdose,0,0,Crater,0,0,Central,0,0,Central,0,0,Richmond,0,0,District 19 Community Services Board,0,0,VSP Division 1,0,0,Virginia State,0,0,28033
751,Dinwiddie,2013,51053,OD Death,Fatal Fentanyl and/or Heroin Overdose,NA,7.2,Crater,NA,1.9,Central,57,4.1,Central,57,4.1,Richmond,57,4.4,District 19 Community Services Board,5,2.9,VSP Division 1,59,4.3,Virginia State,309,3.7,28033
752,Dinwiddie,2013,51053,ED,ED Heroin Overdose,0,0,Crater,0,0,Central,0,0,Central,0,0,Richmond,0,0,District 19 Community Services Board,0,0,VSP Division 1,0,0,Virginia State,0,0,28033
753,Dinwiddie,2013,51053,OD Death,Fatal Prescription Opioid Overdose,0,0,Crater,6,3.8,Central,67,4.8,Central,67,4.8,Richmond,58,4.5,District 19 Community Services Board,7,4,VSP Division 1,61,4.4,Virginia State,459,5.5,28033
772,Essex,2013,51057,OD Death,Fatal Prescription Opioid Overdose,0,0,Three Rivers,NA,2.1,Eastern,97,5.3,Eastern,97,5.3,Richmond,58,4.5,Middle Peninsula-Northern Neck Community Services Board,NA,2.1,VSP Division 1,61,4.4,Virginia State,459,5.5,11083
774,Essex,2013,51057,ED,ED Opioid Overdose,0,0,Three Rivers,0,0,Eastern,0,0,Eastern,0,0,Richmond,0,0,Middle Peninsula-Northern Neck Community Services Board,0,0,VSP Division 1,0,0,Virginia State,0,0,11083
